tweet_id,retweet_count,favorite_count
892420643555336193,8795,39370
892177421306343426,6448,33698
891815181378084864,4273,25394
891689557279858688,8884,42743
891327558926688256,9668,40904
891087950875897856,3217,20508
890971913173991426,2131,12033
890729181411237888,19475,66526
890609185150312448,4371,28134
890240255349198849,7634,32372
890006608113172480,7537,31038
889880896479866881,5095,28144
889665388333682689,8462,38621
889638837579907072,4674,27552
889531135344209921,2296,15300
889278841981685760,5600,25644
888917238123831296,4649,29480
888804989199671297,4503,25954
888554962724278272,3700,20219
888078434458587136,3613,22084
887705289381826560,5554,30616
887517139158093824,11996,46824
887473957103951883,18785,70119
887343217045368832,10666,34122
887101392804085760,6120,30976
886983233522544640,7997,35686
886736880519319552,3395,12251
886680336477933568,4582,22737
886366144734445568,3276,21438
886267009285017600,4,117
886258384151887873,6477,28361
886054160059072513,106,0
885984800019947520,7011,33194
885528943205470208,6614,36508
885518971528720385,3865,20689
885311592912609280,19123,0
885167619883638784,4506,22250
884925521741709313,19072,78665
884876753390489601,6016,28358
884562892145688576,5064,24659
884441805382717440,5815,27360
884247878851493888,21024,73994
884162670584377345,3086,20676
883838122936631299,3544,22208
883482846933004288,10297,46591
883360690899218434,3786,22856
883117836046086144,6872,37731
882992080364220416,4069,24305
882762694511734784,5064,28739
882627270321602560,6273,28278
882268110199369728,11958,45634
882045870035918850,5142,29770
881906580714921986,3503,24652
881666595344535552,10991,51272
881633300179243008,7,129
881536004380872706,16485,50147
881268444196462592,5309,23395
880935762899988482,2861,17238
880872448815771648,3937,21609
880465832366813184,6468,28931
880221127280381952,4377,27484
880095782870896641,4479,27997
879862464715927552,3607,22575
879674319642796034,10,316
879492040517615616,3287,23721
879415818425184262,45511,107488
879376492567855104,3223,17013
879130579576475649,7091,0
879050749262655488,4869,22917
879008229531029506,2786,19221
878776093423087618,4266,19636
878604707211726852,7483,30735
878404777348136964,1334,0
878316110768087041,6895,0
878281511006478336,1334,7870
878057613040115712,7091,42644
877736472329191424,19848,81184
877611172832227328,82,0
877556246731214848,3952,23121
877316821321428993,5360,27761
877201837425926144,5794,27574
876838120628539392,3484,21006
876537666061221889,4756,23729
876484053909872640,2487,19046
876120275196170240,4852,28314
875747767867523072,4458,25629
875144289856114688,5091,22286
875097192612077568,6277,27843
875021211251597312,4869,25880
874680097055178752,4805,28298
874434818259525634,15373,0
874296783580663808,4267,26497
874057562936811520,4100,23008
874012996292530176,10866,35284
873697596434513921,12387,0
873580283840344065,4093,24680
873337748698140672,1647,0
873213775632977920,1647,7412
872967104147763200,5609,27849
872820683541237760,3847,14963
872668790621863937,31,0
872620804844003328,3861,21194
872486979161796608,9327,41350
872261713294495745,6584,34874
872122724285648897,8447,35119
871879754684805121,11749,38875
871762521631449091,3629,20658
871515927908634625,3596,20637
871166179821445120,5939,0
871102520638267392,5708,21354
871032628920680449,3962,23115
870804317367881728,6323,33623
870726314365509632,3,119
870656317836468226,2779,12731
870374049280663552,27398,84490
870308999962521604,4342,22324
870063196459192321,8740,37554
869772420881756160,10540,43430
869702957897576449,6650,28931
869596645499047938,3284,16383
869227993411051520,3993,20991
868880397819494401,12387,54756
868639477480148993,2209,0
868622495443632128,6211,28111
868552278524837888,2209,10464
867900495410671616,4394,24827
867774946302451713,7713,34941
867421006826221569,2664,16637
867072653475098625,133,0
867051520902168576,8335,33191
866816280283807744,32587,0
866720684873056260,5109,20750
866686824827068416,3695,19950
866450705531457537,32587,106239
866334964761202691,15373,54323
866094527597207552,8843,0
865718153858494464,5945,26461
865359393868664832,5311,27348
865006731092295680,8125,28911
864873206498414592,9276,33443
864279568663928832,3238,15100
864197398364647424,9511,31246
863907417377173506,4397,21330
863553081350529029,4443,15839
863471782782697472,2648,0
863432100342583297,5606,24663
863427515083354112,105,2348
