borrowrate,isborrowerhomeowner,investors,rating
0.158,True,258,4.07224258423391
0.092,False,1,6.0
0.275,False,41,4.07224258423391
0.0974,True,158,6.0
0.2085,True,20,3.0
0.1314,True,1,5.0
0.2712,False,1,2.0
0.2019,False,1,4.0
0.0629,True,1,7.0
0.0629,True,1,7.0
0.2489,False,19,4.0
0.1325,False,53,4.07224258423391
0.1435,False,1,5.0
0.1034,True,171,6.0
0.0949,False,371,6.0
0.3177,True,10,1.0
0.2809,True,8,2.0
0.125,True,85,4.07224258423391
0.0974,False,303,6.0
0.2225,False,1,3.0
0.1314,True,1,5.0
0.2075,False,53,4.07224258423391
0.3134,False,94,1.0
0.2419,False,30,3.0
0.162,True,1,4.0
0.2629,False,3,2.0
0.2809,False,37,2.0
0.092,True,121,6.0
0.166,True,1,4.0
0.1239,True,1,6.0
0.0999,False,30,6.0
0.3177,False,24,1.0
0.1274,True,1,5.0
0.0785,False,326,7.0
0.192,True,1,4.0
0.1621,False,14,5.0
0.285,True,3,2.0
0.2469,True,1,3.0
0.0759,True,151,7.0
0.145,False,44,4.07224258423391
0.1725,False,3,4.0
0.2085,True,181,5.0
0.29,False,15,4.07224258423391
0.176,False,5,4.0
0.1734,True,1,4.0
0.1099,True,515,6.0
0.15,False,103,4.07224258423391
0.1299,True,1,6.0
0.1519,True,1,5.0
0.0949,True,481,6.0
0.215,True,1,3.0
0.1799,True,51,5.0
0.1153,True,87,6.0
0.2712,False,65,2.0
0.1852,True,4,5.0
0.1399,False,1,5.0
0.187,False,77,4.0
0.2552,True,2,3.0
0.1519,False,82,5.0
0.16,False,193,4.07224258423391
0.1695,True,1,4.0
0.1274,True,1,5.0
0.23,False,384,4.07224258423391
0.29,True,41,4.07224258423391
0.2699,True,1,2.0
0.1605,True,1,4.0
0.15,False,1,4.07224258423391
0.2669,False,32,2.0
0.197,True,23,4.07224258423391
0.1139,True,1,6.0
0.2049,False,1,4.0
0.3177,True,49,1.0
0.2599,False,49,3.0
0.2272,True,40,3.0
0.3199,True,50,2.0
0.2859,False,42,2.0
0.25,True,38,4.07224258423391
0.1099,True,114,5.0
0.17,True,115,4.07224258423391
0.2049,False,1,4.0
0.2394,False,25,3.0
0.1,False,335,7.0
0.2932,False,1,2.0
0.2958,False,11,2.0
0.1984,True,1,4.0
0.1875,True,1,4.0
0.1905,True,20,4.0
0.2999,True,35,2.0
0.3199,True,48,1.0
0.1768,False,34,5.0
0.1845,True,146,4.07224258423391
0.322,False,54,2.0
0.0755,True,21,4.07224258423391
0.2489,True,152,4.0
0.3177,True,6,1.0
0.099,True,1,6.0
0.2124,False,213,5.0
0.1939,False,38,4.0
0.1355,True,1,5.0
0.0869,False,184,7.0
0.3134,False,73,1.0
0.1895,True,91,4.07224258423391
0.1338,True,293,6.0
0.2287,True,21,3.0
0.162,False,1,4.0
0.2699,False,27,3.0
0.1619,False,188,5.0
0.3177,False,13,1.0
0.26,False,53,4.07224258423391
0.1234,True,164,4.0
0.31,True,80,1.0
0.2452,True,48,3.0
0.3177,True,25,1.0
0.29,False,39,4.07224258423391
0.1601,True,337,4.07224258423391
0.197,False,1,4.0
0.176,True,195,4.0
